sample size and proportion,classifier,metric,val
500_2080,dt_tfidf,ci_upper,0.811510209
500_2080,dt_tfidf,std,0.050301021
500_2080,svc_tfidf,f1_mean,0.785171899
500_2080,svc_tfidf,ci_lower,0.674525274
500_2080,svc_tfidf,ci_upper,0.892689766
500_2080,svc_tfidf,std,0.05727743
500_2080,lsvc_tfidf,f1_mean,0.859374363
500_2080,lsvc_tfidf,ci_lower,0.765543433
500_2080,lsvc_tfidf,ci_upper,0.938647016
500_2080,lsvc_tfidf,std,0.044058351
500_2080,sgd_tfidf,f1_mean,0.829755947
500_2080,sgd_tfidf,ci_lower,0.738183717
500_2080,sgd_tfidf,ci_upper,0.911131463
500_2080,sgd_tfidf,std,0.044693679
500_2080,knn_tfidf,f1_mean,0.849487573
500_2080,knn_tfidf,ci_lower,0.763748666
500_2080,knn_tfidf,ci_upper,0.93459576
500_2080,knn_tfidf,std,0.042610105
500_3070,lr_tfidf,f1_mean,0.76129429
500_3070,lr_tfidf,ci_lower,0.64201945
500_3070,lr_tfidf,ci_upper,0.861647263
500_3070,lr_tfidf,std,0.055147226
500_3070,nb_tfidf,f1_mean,0.734655755
500_3070,nb_tfidf,ci_lower,0.604740741
500_3070,nb_tfidf,ci_upper,0.851119895
500_3070,nb_tfidf,std,0.062574741
500_3070,rf_tfidf,f1_mean,0.714899726
500_3070,rf_tfidf,ci_lower,0.595646803
500_3070,rf_tfidf,ci_upper,0.833332544
500_3070,rf_tfidf,std,0.059612726
500_3070,dt_tfidf,f1_mean,0.719467291
500_3070,dt_tfidf,ci_lower,0.602396011
500_3070,dt_tfidf,ci_upper,0.808910807
500_3070,dt_tfidf,std,0.051750032
500_3070,svc_tfidf,f1_mean,0.753248155
500_3070,svc_tfidf,ci_lower,0.63363387
500_3070,svc_tfidf,ci_upper,0.861998879
500_3070,svc_tfidf,std,0.056996945
500_3070,lsvc_tfidf,f1_mean,0.760154905
500_3070,lsvc_tfidf,ci_lower,0.650495651
500_3070,lsvc_tfidf,ci_upper,0.865740294
500_3070,lsvc_tfidf,std,0.055852084
500_3070,sgd_tfidf,f1_mean,0.720688534
500_3070,sgd_tfidf,ci_lower,0.618869993
500_3070,sgd_tfidf,ci_upper,0.815474359
500_3070,sgd_tfidf,std,0.05116388
500_3070,knn_tfidf,f1_mean,0.731891865
500_3070,knn_tfidf,ci_lower,0.622111202
500_3070,knn_tfidf,ci_upper,0.843161074
500_3070,knn_tfidf,std,0.056036349
500_4060,lr_tfidf,f1_mean,0.705435654
500_4060,lr_tfidf,ci_lower,0.580527778
500_4060,lr_tfidf,ci_upper,0.807004681
500_4060,lr_tfidf,std,0.058405754
500_4060,nb_tfidf,f1_mean,0.674306659
500_4060,nb_tfidf,ci_lower,0.542022956
500_4060,nb_tfidf,ci_upper,0.79755103
500_4060,nb_tfidf,std,0.066606277
500_4060,rf_tfidf,f1_mean,0.582454512
500_4060,rf_tfidf,ci_lower,0.456625515
500_4060,rf_tfidf,ci_upper,0.718019481
500_4060,rf_tfidf,std,0.068601853
500_4060,dt_tfidf,f1_mean,0.661608441
500_4060,dt_tfidf,ci_lower,0.562520849
500_4060,dt_tfidf,ci_upper,0.77200423
500_4060,dt_tfidf,std,0.052836762
500_4060,svc_tfidf,f1_mean,0.688061834
500_4060,svc_tfidf,ci_lower,0.567526936
500_4060,svc_tfidf,ci_upper,0.80187652
500_4060,svc_tfidf,std,0.061182546
500_4060,lsvc_tfidf,f1_mean,0.695169183
500_4060,lsvc_tfidf,ci_lower,0.580357143
500_4060,lsvc_tfidf,ci_upper,0.799897152
500_4060,lsvc_tfidf,std,0.055911689
500_4060,sgd_tfidf,f1_mean,0.668913265
500_4060,sgd_tfidf,ci_lower,0.560349627
500_4060,sgd_tfidf,ci_upper,0.771623759
500_4060,sgd_tfidf,std,0.053342553
500_4060,knn_tfidf,f1_mean,0.663979928
500_4060,knn_tfidf,ci_lower,0.542884072
500_4060,knn_tfidf,ci_upper,0.771891077
500_4060,knn_tfidf,std,0.059241017
500_5050,lr_tfidf,f1_mean,0.686333599
500_5050,lr_tfidf,ci_lower,0.587226031
500_5050,lr_tfidf,ci_upper,0.785334778
500_5050,lr_tfidf,std,0.052446008
500_5050,nb_tfidf,f1_mean,0.675211011
500_5050,nb_tfidf,ci_lower,0.569112225
500_5050,nb_tfidf,ci_upper,0.777649875
500_5050,nb_tfidf,std,0.054717845
500_5050,rf_tfidf,f1_mean,0.631904081
500_5050,rf_tfidf,ci_lower,0.520891559
500_5050,rf_tfidf,ci_upper,0.730603579
500_5050,rf_tfidf,std,0.056581822
500_5050,dt_tfidf,f1_mean,0.724445459
500_5050,dt_tfidf,ci_lower,0.632218439
500_5050,dt_tfidf,ci_upper,0.813041289
500_5050,dt_tfidf,std,0.04853037
500_5050,svc_tfidf,f1_mean,0.672095672
