sample size and proportion,classifier,metric,val
500_5050,svc_tfidf,std,0.052644403
500_5050,lsvc_tfidf,f1_mean,0.73590534
500_5050,lsvc_tfidf,ci_lower,0.637779006
500_5050,lsvc_tfidf,ci_upper,0.832253785
500_5050,lsvc_tfidf,std,0.048789362
500_5050,sgd_tfidf,f1_mean,0.740069791
500_5050,sgd_tfidf,ci_lower,0.647246843
500_5050,sgd_tfidf,ci_upper,0.834953284
500_5050,sgd_tfidf,std,0.047999111
500_5050,knn_tfidf,f1_mean,0.685246361
500_5050,knn_tfidf,ci_lower,0.586716772
500_5050,knn_tfidf,ci_upper,0.787801039
500_5050,knn_tfidf,std,0.051175458
600_1090,lr_tfidf,f1_mean,0.901191306
600_1090,lr_tfidf,ci_lower,0.817222164
600_1090,lr_tfidf,ci_upper,0.96566006
600_1090,lr_tfidf,std,0.037338453
600_1090,nb_tfidf,f1_mean,0.861518287
600_1090,nb_tfidf,ci_lower,0.76454401
600_1090,nb_tfidf,ci_upper,0.937943262
600_1090,nb_tfidf,std,0.043292251
600_1090,rf_tfidf,f1_mean,0.862299076
600_1090,rf_tfidf,ci_lower,0.772245763
600_1090,rf_tfidf,ci_upper,0.937943262
600_1090,rf_tfidf,std,0.04305025
600_1090,dt_tfidf,f1_mean,0.894781423
600_1090,dt_tfidf,ci_lower,0.824112687
600_1090,dt_tfidf,ci_upper,0.958333333
600_1090,dt_tfidf,std,0.035011775
600_1090,svc_tfidf,f1_mean,0.859477874
600_1090,svc_tfidf,ci_lower,0.772245763
600_1090,svc_tfidf,ci_upper,0.937943262
600_1090,svc_tfidf,std,0.044255274
600_1090,lsvc_tfidf,f1_mean,0.905265093
600_1090,lsvc_tfidf,ci_lower,0.821543947
600_1090,lsvc_tfidf,ci_upper,0.974981233
600_1090,lsvc_tfidf,std,0.038112197
600_1090,sgd_tfidf,f1_mean,0.913870797
600_1090,sgd_tfidf,ci_lower,0.841236389
600_1090,sgd_tfidf,ci_upper,0.96779661
600_1090,sgd_tfidf,std,0.033516766
600_1090,knn_tfidf,f1_mean,0.885248248
600_1090,knn_tfidf,ci_lower,0.810875706
600_1090,knn_tfidf,ci_upper,0.959625668
600_1090,knn_tfidf,std,0.039152643
600_2080,lr_tfidf,f1_mean,0.75151026
600_2080,lr_tfidf,ci_lower,0.641145833
600_2080,lr_tfidf,ci_upper,0.862830135
600_2080,lr_tfidf,std,0.058619775
600_2080,nb_tfidf,f1_mean,0.709782838
600_2080,nb_tfidf,ci_lower,0.587398374
600_2080,nb_tfidf,ci_upper,0.825642055
600_2080,nb_tfidf,std,0.057568457
600_2080,rf_tfidf,f1_mean,0.683460196
600_2080,rf_tfidf,ci_lower,0.566627258
600_2080,rf_tfidf,ci_upper,0.801792365
600_2080,rf_tfidf,std,0.06001563
600_2080,dt_tfidf,f1_mean,0.683206144
600_2080,dt_tfidf,ci_lower,0.57629481
600_2080,dt_tfidf,ci_upper,0.791309969
600_2080,dt_tfidf,std,0.055205622
600_2080,svc_tfidf,f1_mean,0.734761893
600_2080,svc_tfidf,ci_lower,0.614959839
600_2080,svc_tfidf,ci_upper,0.85134122
600_2080,svc_tfidf,std,0.057848242
600_2080,lsvc_tfidf,f1_mean,0.74590345
600_2080,lsvc_tfidf,ci_lower,0.626779786
600_2080,lsvc_tfidf,ci_upper,0.851946779
600_2080,lsvc_tfidf,std,0.056597303
600_2080,sgd_tfidf,f1_mean,0.738886199
600_2080,sgd_tfidf,ci_lower,0.628931401
600_2080,sgd_tfidf,ci_upper,0.841694537
600_2080,sgd_tfidf,std,0.053140679
600_2080,knn_tfidf,f1_mean,0.755296879
600_2080,knn_tfidf,ci_lower,0.658848827
600_2080,knn_tfidf,ci_upper,0.844747656
600_2080,knn_tfidf,std,0.048938733
600_3070,lr_tfidf,f1_mean,0.717591936
600_3070,lr_tfidf,ci_lower,0.606416855
600_3070,lr_tfidf,ci_upper,0.81107122
600_3070,lr_tfidf,std,0.050726813
600_3070,nb_tfidf,f1_mean,0.619192962
600_3070,nb_tfidf,ci_lower,0.481310334
600_3070,nb_tfidf,ci_upper,0.739583333
600_3070,nb_tfidf,std,0.063709421
600_3070,rf_tfidf,f1_mean,0.624193585
600_3070,rf_tfidf,ci_lower,0.49846473
600_3070,rf_tfidf,ci_upper,0.736906509
600_3070,rf_tfidf,std,0.061409975
600_3070,dt_tfidf,f1_mean,0.661742822
600_3070,dt_tfidf,ci_lower,0.559159738
600_3070,dt_tfidf,ci_upper,0.760033338
600_3070,dt_tfidf,std,0.049172048
600_3070,svc_tfidf,f1_mean,0.707313115
600_3070,svc_tfidf,ci_lower,0.60496007
600_3070,svc_tfidf,ci_upper,0.799330747
600_3070,svc_tfidf,std,0.05132655
600_3070,lsvc_tfidf,f1_mean,0.708900581
600_3070,lsvc_tfidf,ci_lower,0.611293086
600_3070,lsvc_tfidf,ci_upper,0.799101442
600_3070,lsvc_tfidf,std,0.048417969
600_3070,sgd_tfidf,f1_mean,0.722853452
600_3070,sgd_tfidf,ci_lower,0.633223783
600_3070,sgd_tfidf,ci_upper,0.817052106
600_3070,sgd_tfidf,std,0.046366051
